restaurant_id,name,location,rest_type,cuisines,rating,votes,cost,online_order,book_table,service_type,city
R44,Hotboxit,banashankari,delivery,"north indian, continental, italian",3.8,36,400,0,0,Delivery,Banashankari
R45,Kitchen Garden,kumaraswamy layout,quick bites,"north indian, chinese",3.6,244,300,1,0,Delivery,Banashankari
R46,Recipe,kumaraswamy layout,casual dining,"north indian, chinese, biryani, rolls",4.0,804,450,1,0,Delivery,Banashankari
R47,Beijing Bites,rajarajeshwari nagar,casual dining,"chinese, thai",3.7,679,850,1,0,Delivery,Banashankari
R48,Tasty Bytes,kumaraswamy layout,quick bites,"north indian, chinese, momos, rolls",3.1,245,300,1,0,Delivery,Banashankari
R49,Petoo,banashankari,quick bites,north indian,3.7,21,450,0,0,Delivery,Banashankari
R50,Shree Cool Point,vijay nagar,quick bites,"fast food, street food, beverages",4.1,28,150,1,0,Delivery,Banashankari
R51,Corner House Ice Cream,banashankari,dessert parlor,"ice cream, desserts",4.3,345,400,0,0,Delivery,Banashankari
R52,Biryanis And More,jayanagar,casual dining,"biryani, north indian, chinese, andhra, south indian",4.0,618,750,1,0,Delivery,Banashankari
R53,Roving Feast,banashankari,quick bites,"italian, continental, fast food, chinese, momos",4.0,1047,450,0,0,Delivery,Banashankari
R54,FreshMenu,banashankari,delivery,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",3.9,627,450,1,0,Delivery,Banashankari
R55,Banashankari Donne Biriyani,banashankari,quick bites,"biryani, fast food",3.8,104,300,1,0,Delivery,Banashankari
R56,Wamama,banashankari,casual dining,"asian, korean, indonesian, japanese, chinese, thai, momos",4.2,354,800,1,1,Delivery,Banashankari
R57,Five Star Chicken,banashankari,quick bites,"fast food, burger",3.6,55,200,0,0,Delivery,Banashankari
R58,XO Belgian Waffle,banashankari,dessert parlor,"desserts, beverages",3.7,17,400,1,0,Delivery,Banashankari
R59,Peppy Peppers,banashankari,casual dining,"italian, north indian, mexican",4.2,244,800,0,0,Delivery,Banashankari
R60,Goa 0 Km,kumaraswamy layout,casual dining,"goan, seafood, north indian, chinese, biryani",3.6,163,800,1,1,Delivery,Banashankari
R61,Chinese Kitchen,basavanagudi,quick bites,chinese,3.8,58,150,1,0,Delivery,Banashankari
R62,1947,banashankari,casual dining,"north indian, chinese",4.0,808,850,0,1,Delivery,Banashankari
R63,Cake of the Day,banashankari,"bakery, dessert parlor",bakery,3.7,78,150,0,0,Delivery,Banashankari
R64,Kabab Magic,basavanagudi,quick bites,"north indian, kebab, chinese, fast food",4.1,1720,400,1,0,Delivery,Banashankari
R65,Namma Brahmin's Idli,jayanagar,quick bites,south indian,3.6,34,100,1,0,Delivery,Banashankari
R66,Gustoes Beer House,banashankari,pub,"continental, italian, mexican, north indian, chinese, steak",4.1,868,1200,0,0,Delivery,Banashankari
R67,Sugar Rush,banashankari,bakery,"bakery, desserts",3.8,39,300,0,0,Delivery,Banashankari
R68,Burger King,basavanagudi,quick bites,"burger, fast food, beverages",3.2,71,600,1,0,Delivery,Banashankari
R69,The Good Bowl,banashankari,"takeaway, delivery","italian, north indian, biryani",3.6,6,500,1,0,Delivery,Banashankari
R70,The Biryani Cafe,banashankari,quick bites,"biryani, chinese, kebab",4.1,520,300,0,0,Delivery,Banashankari
R71,LSD Cafe,banashankari,delivery,"chinese, continental, italian, north indian",2.9,84,700,0,0,Delivery,Banashankari
R72,Rolls On Wheels,banashankari,quick bites,"fast food, rolls, momos",3.6,299,300,0,0,Delivery,Banashankari
R73,Sri Guru Kottureshwara Davangere Benne Dosa,basavanagudi,quick bites,south indian,4.1,558,150,1,0,Delivery,Banashankari
R74,Devanna Dum Biriyani Centre,banashankari,quick bites,"biryani, south indian",3.6,28,300,1,0,Delivery,Banashankari
R75,Kolbeh,banashankari,quick bites,fast food,3.7,22,500,0,0,Delivery,Banashankari
R76,Upahar Sagar,banashankari,quick bites,"south indian, chinese, north indian",3.8,39,350,0,0,Delivery,Banashankari
R77,Kadalu Sea Food Restaurant,vijay nagar,fine dining,"seafood, north indian, chinese, andhra, biryani, kebab",3.8,153,500,1,0,Delivery,Banashankari
R78,Frozen Bottle,banashankari,beverage shop,"beverages, desserts, ice cream",4.2,146,400,1,0,Delivery,Banashankari
R79,Parimala Sweets,banashankari,sweet shop,"mithai, street food",3.5,14,200,0,0,Delivery,Banashankari
R80,Vaishali Deluxe,banashankari,casual dining,"north indian, chinese",3.8,42,700,0,0,Delivery,Banashankari
R81,The Big O Bakes,banashankari,bakery,"bakery, desserts",4.0,66,300,0,0,Delivery,Banashankari
R82,Meghana Foods,jayanagar,casual dining,"biryani, north indian, chinese",4.4,4401,600,1,0,Delivery,Banashankari
R83,Krishna Sagar,banashankari,quick bites,north indian,3.5,31,200,0,0,Delivery,Banashankari
R84,Dessert Rose,banashankari,dessert parlor,desserts,3.5,7,500,0,0,Delivery,Banashankari
R85,Chickpet Donne Biryani House,banashankari,quick bites,biryani,3.7,21,250,0,0,Delivery,Banashankari
R86,Thanco's Natural Ice Creams,banashankari,dessert parlor,ice cream,3.2,9,300,0,0,Delivery,Banashankari
R87,Nandhini Deluxe,banashankari,casual dining,north indian,2.6,283,600,0,0,Delivery,Banashankari
R88,Vi Ra's Bar and Restaurant,banashankari,bar,"south indian, north indian, chinese",3.3,62,800,0,0,Delivery,Banashankari
R89,Kaggis,banashankari,quick bites,"fast food, bakery",3.8,64,250,0,0,Delivery,Banashankari
R90,Ayda Persian Kitchen,banashankari,casual dining,"north indian, iranian",3.7,39,950,0,0,Delivery,Banashankari
R91,Chatar Patar,banashankari,quick bites,"fast food, street food",3.7,65,300,0,0,Delivery,Banashankari
R92,Polar Bear,basavanagudi,dessert parlor,"ice cream, desserts, beverages, sandwich",3.8,71,400,1,0,Delivery,Banashankari
R93,Kidambi's Kitchen,banashankari,quick bites,south indian,3.5,52,300,0,0,Delivery,Banashankari
R94,Mane Thindi,banashankari,quick bites,south indian,3.7,130,200,0,0,Delivery,Banashankari
R95,Kotian Karavali Restaurant,banashankari,quick bites,"south indian, biryani",3.5,10,300,0,0,Delivery,Banashankari
R96,Floured-Baked With Love,banashankari,"takeaway, delivery",bakery,3.8,45,400,0,0,Delivery,Banashankari
R97,Cakes & Slices,banashankari,bakery,"bakery, desserts",3.5,13,300,0,0,Delivery,Banashankari
R98,Spice 9,banashankari,quick bites,"biryani, north indian, chinese, fast food",3.4,8,300,0,0,Delivery,Banashankari
R99,Naveen Kabab & Biriyani Mane,banashankari,quick bites,biryani,3.2,9,300,0,0,Delivery,Banashankari
R100,Katriguppe Donne Biryani,banashankari,quick bites,north indian,3.2,4,300,0,0,Delivery,Banashankari
R101,Atithi Point Ande Ka Funda,banashankari,quick bites,north indian,3.1,29,150,0,0,Delivery,Banashankari
R102,Just Bake,banashankari,bakery,"bakery, desserts",3.4,8,400,0,0,Delivery,Banashankari
R103,K27 - The Pub,banashankari,bar,"chinese, north indian",3.1,30,1000,0,0,Delivery,Banashankari
R104,Bengaluru Coffee House,banashankari,quick bites,"south indian, north indian, chinese, street food",4.1,201,300,1,0,Delivery,Banashankari
R105,New Mangalore Lunch Home,banashankari,quick bites,"mangalorean, south indian, north indian",3.3,7,200,0,0,Delivery,Banashankari
R106,Coffee Bytes,banashankari,quick bites,"fast food, south indian",3.1,6,100,0,0,Delivery,Banashankari
R107,Parjanya Chat Zone,banashankari,quick bites,"street food, fast food",3.3,17,200,0,0,Delivery,Banashankari
R108,Kwality Wall's Swirl's Happiness Station,banashankari,dessert parlor,"ice cream, desserts",2.9,25,200,0,0,Delivery,Banashankari
R109,Ruchi Maayaka,banashankari,delivery,south indian,3.3,8,100,0,0,Delivery,Banashankari
R110,Anna Kuteera,banashankari,casual dining,"south indian, north indian, chinese",4.0,771,450,1,0,Delivery,Banashankari
R111,Darbar,banashankari,bar,"north indian, chinese",3.0,98,800,0,0,Delivery,Banashankari
R112,Vijayalakshmi,basavanagudi,quick bites,south indian,3.9,47,200,1,0,Delivery,Banashankari
R113,Sri Udupi Food Hub,jayanagar,casual dining,"south indian, north indian, chinese, beverages",4.1,175,500,1,1,Delivery,Banashankari
R114,Udupi Upahar,banashankari,quick bites,"south indian, chinese, north indian, juices",3.8,58,300,1,0,Delivery,Banashankari
R115,House Of Kebabs,basavanagudi,casual dining,"north indian, kebab, biryani, chinese",3.8,540,650,1,0,Delivery,Banashankari
R116,Roll N Rock,kumaraswamy layout,quick bites,"chinese, north indian, mughlai, rolls",3.8,124,400,1,0,Delivery,Banashankari
R117,BOX8- Desi Meals,banashankari,"takeaway, delivery","north indian, mughlai, fast food",4.1,340,500,1,0,Delivery,Banashankari
R118,KFC,banashankari,quick bites,"burger, fast food",3.8,505,450,1,0,Delivery,Banashankari
R119,Roll Over,jayanagar,dessert parlor,"desserts, ice cream, beverages, fast food, sandwich",4.1,438,500,1,0,Delivery,Banashankari
R120,Imperial Restaurant,mysore road,casual dining,"north indian, chinese, biryani, beverages",3.7,264,750,1,0,Delivery,Banashankari
R121,Lassi Shop,kumaraswamy layout,beverage shop,"beverages, juices, ice cream",3.9,169,150,1,0,Delivery,Banashankari
R122,The Fortuna,kumaraswamy layout,quick bites,"north indian, chinese",3.0,67,250,1,0,Delivery,Banashankari
R123,Wahab,jayanagar,quick bites,"north indian, mughlai, chinese",3.7,97,350,1,0,Delivery,Banashankari
R124,Al Diwan Biryanis And More,basavanagudi,"takeaway, delivery",biryani,3.3,12,300,1,0,Delivery,Banashankari
R125,New Gowda's Fried Chicken,banashankari,quick bites,biryani,3.3,12,300,1,0,Delivery,Banashankari
R126,Canton,jayanagar,casual dining,"chinese, seafood, biryani",3.6,195,800,1,0,Delivery,Banashankari
R127,Diabetics Dezire Sugarless Sweets and Bakes,basavanagudi,"dessert parlor, sweet shop","desserts, mithai",3.3,13,300,1,0,Delivery,Banashankari
R128,The Blue Wagon - Kitchen,jayanagar,cafe,"cafe, beverages",4.6,228,400,1,0,Delivery,Banashankari
R129,HOT COFFEE,basavanagudi,quick bites,"south indian, chinese",4.1,70,150,1,0,Delivery,Banashankari
R130,Patio 805,jayanagar,casual dining,"thai, vietnamese, asian, chinese",4.1,364,1200,1,1,Delivery,Banashankari
R131,Lassi Corner,basavanagudi,beverage shop,"beverages, ice cream",3.7,107,150,1,0,Delivery,Banashankari
R132,Sagar Deluxe,kumaraswamy layout,quick bites,"south indian, north indian, chinese, juices",3.2,167,300,1,0,Delivery,Banashankari
R133,Kanti Sweets,banashankari,sweet shop,"mithai, street food",4.0,115,400,1,0,Delivery,Banashankari
R134,Vegetalia,banashankari,"takeaway, delivery","italian, pizza",3.7,27,400,1,0,Delivery,Banashankari
R135,Aramane Donne Biryani,banashankari,quick bites,biryani,3.5,57,200,1,0,Delivery,Banashankari
R136,Ande Ka Funda,banashankari,quick bites,"north indian, fast food, rolls",3.8,120,250,1,0,Delivery,Banashankari
R137,Cake Ghar,basavanagudi,bakery,bakery,3.8,15,400,1,0,Delivery,Banashankari
R138,Energy Addaa,basavanagudi,quick bites,"salad, healthy food, sandwich, juices, burger, desserts, pizza",4.2,64,500,1,0,Delivery,Banashankari
R139,Bhattara Bhojana,banashankari,quick bites,south indian,3.6,66,150,1,0,Delivery,Banashankari
R140,Tandoori Knight,banashankari,quick bites,"north indian, chinese, biryani, kebab",3.0,290,450,1,0,Delivery,Banashankari
R141,Dev Sagar - Food Street,basavanagudi,quick bites,street food,4.1,233,200,1,0,Delivery,Banashankari
R142,Mitraa Da Pizza,kumaraswamy layout,quick bites,"fast food, pizza",3.8,115,250,1,0,Delivery,Banashankari
R143,Paradise Premium,banashankari,casual dining,"biryani, andhra, hyderabadi, north indian",3.1,119,700,1,0,Delivery,Banashankari
R144,Grazers,jayanagar,cafe,"cafe, burger, continental, italian, desserts",3.9,291,650,1,1,Delivery,Banashankari
R145,Shakes Theory,jayanagar,beverage shop,"beverages, sandwich",4.5,155,300,1,0,Delivery,Banashankari
R146,@Italy,kumaraswamy layout,casual dining,italian,4.1,305,700,1,0,Delivery,Banashankari
R147,Chilli Flakes,banashankari,quick bites,"fast food, italian, beverages",3.6,46,500,1,0,Delivery,Banashankari
R148,Calcutta Cafe,kumaraswamy layout,quick bites,"bengali, chinese, sandwich",3.5,45,350,1,0,Delivery,Banashankari
R149,Old Mumbai Ice Cream,banashankari,dessert parlor,ice cream,3.9,38,150,1,0,Delivery,Banashankari
R150,Donne Biriyani House,banashankari,quick bites,"south indian, north indian, chinese, biryani",3.9,441,400,1,0,Delivery,Banashankari
R151,By 2 Coffee,basavanagudi,quick bites,south indian,3.9,25,100,1,0,Delivery,Banashankari
R152,Kedia's Fun Food,jayanagar,quick bites,"north indian, street food, juices",4.3,630,200,1,0,Delivery,Banashankari
R153,Davangere Butter Dosa Hotel,kumaraswamy layout,quick bites,south indian,3.8,25,150,1,0,Delivery,Banashankari
R154,Just Shawarma,kumaraswamy layout,quick bites,arabian,3.9,160,300,1,0,Delivery,Banashankari
R155,Mini Punjabi Dhaba,banashankari,quick bites,north indian,4.2,287,350,1,0,Delivery,Banashankari
R156,Mulabagilu Dosa,basavanagudi,quick bites,south indian,3.6,11,100,1,0,Delivery,Banashankari
R157,Gokul Veg,basavanagudi,casual dining,"north indian, chinese, beverages",3.8,469,750,1,0,Delivery,Banashankari
R158,Olive - Era,kumaraswamy layout,casual dining,"bbq, arabian, rolls, chinese, north indian, juices, kebab, desserts",3.3,511,550,1,0,Delivery,Banashankari
R159,Udupi Ruchi,banashankari,quick bites,"south indian, north indian, chinese, street food",3.9,57,200,1,0,Delivery,Banashankari
R160,Madhappa Hindu Military Hotel,banashankari,quick bites,south indian,3.4,14,300,1,0,Delivery,Banashankari
R161,Gama Gama,banashankari,quick bites,south indian,3.9,264,200,1,0,Delivery,Banashankari
R162,Pizza Hut,banashankari,casual dining,"pizza, fast food",3.8,693,750,1,0,Delivery,Banashankari
R163,Mangalore Pearl,jayanagar,casual dining,"mangalorean, seafood, chinese, biryani",3.8,242,650,1,0,Delivery,Banashankari
R164,Asha Sweets Centre,basavanagudi,dessert parlor,fast food,3.6,27,250,1,0,Delivery,Banashankari
R165,Twiststick House,basavanagudi,quick bites,"continental, fast food, street food, momos",4.1,163,500,1,0,Delivery,Banashankari
R166,Cool Corner,basavanagudi,quick bites,"street food, fast food",4.2,191,250,1,0,Delivery,Banashankari
R167,Pizza Mane,banashankari,quick bites,"pizza, sandwich, burger, fast food",3.5,32,150,1,0,Delivery,Banashankari
R168,Dal Tadkaa,banashankari,casual dining,north indian,2.5,247,500,1,0,Delivery,Banashankari
R169,Chutney Chang,jayanagar,casual dining,"north indian, chinese, bbq",4.1,2339,1500,1,1,Delivery,Banashankari
R170,Mystique Palate,jayanagar,quick bites,"chinese, fast food",4.1,337,300,1,0,Delivery,Banashankari
R171,Thamboola,banashankari,casual dining,"north indian, chinese, continental",3.9,135,800,1,0,Delivery,Banashankari
R172,Castle Rock,uttarahalli,casual dining,"north indian, chinese",3.6,172,700,1,0,Delivery,Banashankari
R173,Vietnamese Kitchen,banashankari,casual dining,vietnamese,3.6,105,700,1,0,Delivery,Banashankari
R174,C Corner,kumaraswamy layout,quick bites,"fast food, street food",3.2,36,200,1,0,Delivery,Banashankari
R175,Paratha Merchant,kumaraswamy layout,quick bites,north indian,3.1,39,300,1,0,Delivery,Banashankari
R176,North Rasoe,kumaraswamy layout,casual dining,"north indian, chinese, biryani, kebab",3.1,5,500,1,0,Delivery,Banashankari
R177,Toscano,jayanagar,casual dining,"italian, salad",4.3,1129,1300,1,1,Delivery,Banashankari
R178,Lord Of The Kitchen,kumaraswamy layout,quick bites,"north indian, chinese",3.9,56,350,1,0,Delivery,Banashankari
R179,Stoned Monkey,banashankari,dessert parlor,"desserts, ice cream",4.3,860,500,1,0,Delivery,Banashankari
R180,Central Jail Restaurant,jayanagar,casual dining,"andhra, seafood, north indian, chinese",3.8,412,700,1,0,Delivery,Banashankari
R181,Bella,jayanagar,casual dining,"mangalorean, seafood, south indian",3.9,142,1000,1,1,Delivery,Banashankari
R182,Vennela Andhra Meals,jayanagar,quick bites,andhra,3.0,23,400,1,0,Delivery,Banashankari
R183,New Prashanth Hotel,jayanagar,casual dining,"south indian, biryani, chinese, north indian",3.6,143,750,1,0,Delivery,Banashankari
R184,The Grillo,jayanagar,casual dining,"south indian, arabian, chinese, north indian, seafood, mangalorean",2.8,80,500,1,1,Delivery,Banashankari
R185,Re Malnad Nati Style Hotel,jp nagar,casual dining,south indian,3.6,16,400,1,0,Delivery,Banashankari
R186,Karma Kaapi,jayanagar,beverage shop,"beverages, tea",4.4,181,250,1,0,Delivery,Banashankari
R187,Tiwari's,jayanagar,quick bites,"north indian, street food",3.8,70,200,1,0,Delivery,Banashankari
R188,Pizza Stop,basavanagudi,quick bites,"pizza, italian",3.8,164,600,1,0,Delivery,Banashankari
R189,Biggies Burger 'n' More,kumaraswamy layout,quick bites,"cafe, burger, beverages",3.6,58,650,1,0,Delivery,Banashankari
R190,Kollapuri's,basavanagudi,quick bites,"south indian, mangalorean",3.9,206,450,0,0,Delivery,Banashankari
R191,Kadamba Classic,mysore road,quick bites,south indian,3.6,16,300,0,0,Delivery,Banashankari
R192,RS Shiv Sagar,basavanagudi,casual dining,"north indian, chinese, south indian, fast food, juices",3.7,217,450,0,0,Delivery,Banashankari
R193,Kholi Mane,basavanagudi,quick bites,"andhra, south indian, biryani, north indian",3.6,46,450,0,0,Delivery,Banashankari
R194,Harshi Super Sandwich,basavanagudi,quick bites,"fast food, street food",3.8,148,150,0,0,Delivery,Banashankari
R195,Cake Yard,basavanagudi,dessert parlor,desserts,3.4,30,250,0,0,Delivery,Banashankari
R196,Sri Udupi Veg,jayanagar,quick bites,south indian,3.3,4,250,0,0,Delivery,Banashankari
R197,Cake Art,basavanagudi,"bakery, quick bites",bakery,3.5,15,400,0,0,Delivery,Banashankari
R198,Potato House,uttarahalli,quick bites,street food,3.4,9,200,1,0,Delivery,Banashankari
R199,Matru Sagar,mysore road,quick bites,"south indian, north indian",3.7,31,300,1,0,Delivery,Banashankari
R200,Ugadi,jayanagar,casual dining,"north indian, chinese, biryani, andhra, mangalorean",2.9,177,700,1,0,Delivery,Banashankari
R201,Sri Krishna Sweets,basavanagudi,sweet shop,"mithai, desserts",3.7,22,250,1,0,Delivery,Banashankari
R202,In Time Cane Juice,kumaraswamy layout,beverage shop,"juices, beverages",3.5,10,100,1,0,Delivery,Banashankari
R203,Subway,banashankari,quick bites,"salad, fast food",3.7,136,600,1,0,Delivery,Banashankari
R204,Daal Roti,kumaraswamy layout,quick bites,"north indian, chinese",2.9,35,250,1,0,Delivery,Banashankari
R205,The Lassi Park,jayanagar,quick bites,"juices, desserts",4.1,185,200,1,0,Delivery,Banashankari
R206,Cafe Coffee Day,jayanagar,cafe,"cafe, fast food",3.2,17,900,1,0,Delivery,Banashankari
R207,A2B - Adyar Ananda Bhavan,mysore road,casual dining,"south indian, north indian, chinese, street food",3.8,155,400,1,0,Delivery,Banashankari
R208,Srikrishna Bhavan,banashankari,quick bites,"south indian, north indian, chinese",3.8,42,300,1,0,Delivery,Banashankari
R209,Green Gardenia,banashankari,casual dining,"north indian, chinese",3.8,160,700,1,0,Delivery,Banashankari
R210,J Spice,banashankari,casual dining,"north indian, chinese",3.8,59,750,1,0,Delivery,Banashankari
R211,Karavali Family Restaurant,jayanagar,casual dining,"seafood, biryani, south indian, north indian, chinese",3.5,90,500,1,0,Delivery,Banashankari
R212,Karavali Lunch Home,kumaraswamy layout,quick bites,"south indian, mangalorean",3.7,51,350,1,0,Delivery,Banashankari
R213,Hatti Kaapi,jayanagar,quick bites,"south indian, beverages",4.0,89,200,1,0,Delivery,Banashankari
R214,Kolkata Kathi Roll's,banashankari,quick bites,"fast food, rolls",3.6,18,250,1,0,Delivery,Banashankari
R215,Upahara Darshini,basavanagudi,casual dining,"north indian, chinese, south indian, fast food",3.9,40,600,1,0,Delivery,Banashankari
R216,The Chaat Shop,basavanagudi,quick bites,fast food,2.5,35,200,1,0,Delivery,Banashankari
R217,Anda Ka Funda,jayanagar,quick bites,"north indian, chinese, rolls",3.4,89,250,1,0,Delivery,Banashankari
R218,Shri Vinayaka Ice N Juice,basavanagudi,quick bites,"beverages, fast food",3.2,11,150,1,0,Delivery,Banashankari
R219,Ibaco,jayanagar,dessert parlor,desserts,3.9,33,300,1,0,Delivery,Banashankari
R220,Jalaram Sweets,jayanagar,sweet shop,"desserts, mithai",3.8,32,250,1,0,Delivery,Banashankari
R221,Samskruti - Sanman Gardenia,jayanagar,casual dining,"north indian, chinese, south indian",4.1,139,550,1,0,Delivery,Banashankari
R222,Bendakaluru Bytes,vijay nagar,quick bites,fast food,3.2,154,300,1,0,Delivery,Banashankari
R223,Cocoa Bakes,banashankari,bakery,"bakery, desserts",3.6,14,350,1,0,Delivery,Banashankari
R224,Chumma Delicious,banashankari,quick bites,"south indian, fast food",3.7,237,200,1,0,Delivery,Banashankari
R225,New Prashanth Hotel,banashankari,casual dining,"biryani, north indian, seafood, andhra",3.9,388,650,1,0,Delivery,Banashankari
R226,Dwaraka Grand,kumaraswamy layout,casual dining,"south indian, chinese, street food, juices",3.9,128,500,1,0,Delivery,Banashankari
R227,Gufha - The President Hotel,jayanagar,casual dining,"north indian, afghani, mughlai",4.1,1875,1200,1,1,Delivery,Banashankari
R228,Tanna's Kitchen,kumaraswamy layout,quick bites,"italian, chinese, street food",3.1,7,250,1,0,Delivery,Banashankari
R229,Shree Mandarathi Grand,uttarahalli,casual dining,"south indian, north indian",3.7,38,400,1,0,Delivery,Banashankari
R230,Mojo Pizza - 2X Toppings,banashankari,delivery,pizza,4.2,179,600,1,0,Delivery,Banashankari
R231,Iceberg Icecreams,basavanagudi,dessert parlor,"desserts, ice cream",4.0,43,250,1,0,Delivery,Banashankari
R232,South Kitchen,basavanagudi,quick bites,south indian,4.3,275,100,1,0,Delivery,Banashankari
R233,Chung Wah,jayanagar,casual dining,"chinese, thai, momos",3.7,323,850,1,0,Delivery,Banashankari
R234,Shanthi Sagar,uttarahalli,casual dining,"south indian, north indian, chinese",3.1,28,400,1,0,Delivery,Banashankari
R235,Millet Mama,basavanagudi,quick bites,"south indian, healthy food",3.9,18,200,1,0,Delivery,Banashankari
R236,Bangarpet Chat Express,basavanagudi,quick bites,"street food, fast food",3.3,6,100,1,0,Delivery,Banashankari
R237,Prems Graama Bhojanam,jayanagar,casual dining,south indian,4.3,322,400,1,0,Delivery,Banashankari
R238,Java City,jayanagar,cafe,"cafe, american, pizza",2.6,157,450,1,0,Delivery,Banashankari
R239,Kamat Bugle Rock,basavanagudi,quick bites,"south indian, fast food",3.9,543,300,1,0,Delivery,Banashankari
R240,Puliyogare Point,basavanagudi,quick bites,south indian,4.2,444,100,1,0,Delivery,Banashankari
